Shape of X [N, C, H, W]: torch.Size([1024, 4])
Shape of y: torch.Size([1024, 4]) torch.float32
Using mps device
dSMSPredictorNN(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (linear_relu_stack): Sequential(
    (0): Linear(in_features=4, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=4, bias=True)
  )
)
Epoch 1
-------------------------------
loss: 0.025318  [1649664/5060099]
loss: 0.025217  [1659904/5060099]
loss: 0.025151  [1670144/5060099]
loss: 0.026235  [1680384/5060099]
loss: 0.025032  [1690624/5060099]
loss: 0.024690  [1700864/5060099]
loss: 0.026361  [1711104/5060099]
loss: 0.024686  [1721344/5060099]
loss: 0.025265  [1731584/5060099]
loss: 0.024076  [1741824/5060099]
loss: 0.024728  [1752064/5060099]
loss: 0.025182  [1762304/5060099]
loss: 0.024948  [1772544/5060099]
loss: 0.023522  [1782784/5060099]
loss: 0.023462  [1793024/5060099]
loss: 0.023908  [1803264/5060099]
loss: 0.023851  [1813504/5060099]
loss: 0.023721  [1823744/5060099]
loss: 0.023189  [1833984/5060099]
loss: 0.023277  [1844224/5060099]
loss: 0.023326  [1854464/5060099]
loss: 0.023066  [1864704/5060099]
loss: 0.023071  [1874944/5060099]
loss: 0.022481  [1885184/5060099]
loss: 0.023479  [1895424/5060099]
loss: 0.023122  [1905664/5060099]
loss: 0.022757  [1915904/5060099]
loss: 0.021812  [1926144/5060099]
loss: 0.022307  [1936384/5060099]
loss: 0.022337  [1946624/5060099]
loss: 0.022878  [1956864/5060099]
loss: 0.022490  [1967104/5060099]
loss: 0.022063  [1977344/5060099]
loss: 0.023019  [1987584/5060099]
loss: 0.023319  [1997824/5060099]
loss: 0.021582  [2008064/5060099]
loss: 0.023368  [2018304/5060099]
loss: 0.022216  [2028544/5060099]
loss: 0.021785  [2038784/5060099]
loss: 0.021826  [2049024/5060099]
loss: 0.022284  [2059264/5060099]
loss: 0.023121  [2069504/5060099]
loss: 0.022048  [2079744/5060099]
loss: 0.022386  [2089984/5060099]
loss: 0.022133  [2100224/5060099]
loss: 0.020981  [2110464/5060099]
loss: 0.021318  [2120704/5060099]
loss: 0.021200  [2130944/5060099]
loss: 0.020784  [2141184/5060099]
loss: 0.020510  [2151424/5060099]
loss: 0.021609  [2161664/5060099]
loss: 0.020725  [2171904/5060099]
loss: 0.021252  [2182144/5060099]
loss: 0.020789  [2192384/5060099]
loss: 0.020830  [2202624/5060099]
loss: 0.021096  [2212864/5060099]
loss: 0.020318  [2223104/5060099]
loss: 0.020835  [2233344/5060099]
loss: 0.020730  [2243584/5060099]
loss: 0.020397  [2253824/5060099]
loss: 0.019905  [2264064/5060099]
loss: 0.020883  [2274304/5060099]
loss: 0.021622  [2284544/5060099]
loss: 0.020148  [2294784/5060099]
loss: 0.020662  [2305024/5060099]
loss: 0.019899  [2315264/5060099]
loss: 0.020040  [2325504/5060099]
loss: 0.020611  [2335744/5060099]
loss: 0.020016  [2345984/5060099]
loss: 0.019764  [2356224/5060099]
loss: 0.019763  [2366464/5060099]
loss: 0.018851  [2376704/5060099]
loss: 0.020258  [2386944/5060099]
loss: 0.019907  [2397184/5060099]
loss: 0.019154  [2407424/5060099]
